,Unnamed: 0,text,date,user,location,Clean_Tweet
10,10,"RT @ChelseaHelms1: So far 322,862 fully vaccinated Arkansans have gotten a #COVID19 #BoosterShot. 

Have you gotten yours yet? 

Here's tod…",2021-12-05 21:20:24,KNWAFOX24,Northwest Arkansas,": So far  ,  fully have gotten a COVID . Have you gotten yours yet ? Here ' s tod …"
11,11,RT @DrEricDing: Norwegian 🇳🇴 Christmas #Omicron party…. That Norwegian work outbreak is now up to ~100 out of 120 attendees testing #COVID1…,2021-12-05 21:18:54,CrimsonGash,Ventura California,: 🇳🇴 Omicron party …. That work outbreak is now up to ~  out of  testing COVID …
12,12,"So far 322,862 fully vaccinated Arkansans have gotten a #COVID19 #BoosterShot. 

Have you gotten yours yet? 

Here'… https://t.co/3UWow0Fj2U",2021-12-05 21:18:41,ChelseaHelms1,"Fayetteville, AR","So far  ,  fully have gotten a COVID . Have you gotten yours yet ? Here '…"
13,13,Just tried to hoop at the Garden after gettin the #BoosterShot. Worst mistake ever‼️😭,2021-12-05 21:12:41,CallMeInky23,315/Rochester....Eastside🤘🏾,Just tried to hoop at the Garden after the . Worst mistake ever ‼️😭
14,14,RT @DrEricDing: Norwegian 🇳🇴 Christmas #Omicron party…. That Norwegian work outbreak is now up to ~100 out of 120 attendees testing #COVID1…,2021-12-05 21:11:36,MyVoteCounts_,Montana,: 🇳🇴 Omicron party …. That work outbreak is now up to ~  out of  testing COVID …
15,15,RT @DrEricDing: Norwegian 🇳🇴 Christmas #Omicron party…. That Norwegian work outbreak is now up to ~100 out of 120 attendees testing #COVID1…,2021-12-05 21:11:03,bmorebooks,Baltimore,: 🇳🇴 Omicron party …. That work outbreak is now up to ~  out of  testing COVID …
16,16,"RT @JPfaff1028: Even #BigPharma is admitting these Jabs are useless against the new #OmicronVarient, yet the only is solution is to mandate…",2021-12-05 21:05:34,aranianz,,": Even is these are useless against the new , yet the only is solution is to mandate …"
17,17,Time to grow monkey tails #boostershot,2021-12-05 21:01:37,shy_alin,"Los Angeles, CA",Time to grow monkey
18,18,"installing the new patch of 5G rn
#boostershot",2021-12-05 21:00:58,NyanCatNik,alara cuz jund,the new patch of G
19,19,1/4 Please do not take this as a for sure thing.  I don't know if this was just a coincidence and was just how our… https://t.co/Sqbm7X5DHv,2021-12-05 20:55:27,RoseOfPhantom,Minnesota, /  Please do not take this as a for sure thing . I don ' t know if this was just a coincidence and was just how our …
20,20,RT @RB_Showman: Got my #BoosterShot! The pharmacist said it could take 24-48 hours to see improvement in my 5G reception.,2021-12-05 20:50:49,Maggie_Nickson,The pale blue dot,Showman : Got my ! The pharmacist said it could take  -  to see improvement in my G reception .
21,21,Got my #BoosterShot! The pharmacist said it could take 24-48 hours to see improvement in my 5G reception.,2021-12-05 20:49:10,RB_Showman,Metro Atlanta,Got my ! The pharmacist said it could take  -  to see improvement in my G reception .
22,22,"Sunday booster shot! Get that immune system healthy!

#BoosterShot 
#BoosterShots 
#ImmuneSystem 
#COVID19… https://t.co/zWUAWCJ9sm",2021-12-05 20:49:06,NYNDad,"Minnesota, USA",booster shot ! Get that immune system healthy ! COVID …
23,23,RT @BallyHell: Why do they label the 3rd jab as a 'booster' when it's clear that it's not uniquely reserved for the vulnerable and that ful…,2021-12-05 20:34:50,Sarah_is_hereee,,: Why do they label the rd jab as a ' booster ' when it ' s clear that it ' s not uniquely reserved for the vulnerable and that …
